# schema=qrd_rumble_csv_v1
# game_name=Cool Spot (World) (Game Genie)
# match_names=coolspot|coolspotsnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_00d0,0x7E00D0,1,int,prev_gt_curr,,left,0.850,fade_out,0,110,80,70,
death_health_00d0,0x7E00D0,1,int,became_zero,,both,1.000,heartbeat,0,600,400,90,
life_lost_lives_00d4,0x7E00D4,1,uint,prev_gt_curr,,both,0.92,fade_in_out,0,300,250,80,
life_gained_lives_00d4,0x7E00D4,1,uint,prev_lt_curr,,both,0.750,fade_in,0,180,200,50,
score_score0_00cc,0x7E00CC,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score1_00ca,0x7E00CA,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score2_00c8,0x7E00C8,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score3_00c6,0x7E00C6,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score4_00c4,0x7E00C4,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
score_score5_00c2,0x7E00C2,1,uint,prev_lt_curr,,right,0.350,burst,0,70,15,10,
