# schema=qrd_rumble_csv_v1
# game_name=B.O.B. (USA, Europe) (Action Replay)
# match_names=bob|bobsnes
event_id,address,size,value_type,condition,compare_value,controller,amplitude,effect,start_ms,duration_ms,cooldown_ms,priority,notes
damage_taken_health_0221,0x7E0221,1,uint,prev_gt_curr,,left,0.850,normal,0,90,100,70,
death_health_0221,0x7E0221,1,uint,became_zero,,both,1.000,normal,0,600,400,90,
life_lost_lives_022d,0x7E022D,1,int,prev_gt_curr,,both,0.900,normal,0,300,160,80,
life_gained_lives_022d,0x7E022D,1,int,prev_lt_curr,,both,0.750,normal,0,180,160,50,
score_score0_0dab,0x7E0DAB,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score1_0da9,0x7E0DA9,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score2_0da7,0x7E0DA7,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score3_0da5,0x7E0DA5,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score4_0da3,0x7E0DA3,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score5_0da2,0x7E0DA2,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score6_0da0,0x7E0DA0,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
score_score7_0d9e,0x7E0D9E,1,nibble,prev_lt_curr,,right,0.350,normal,0,60,50,10,
